Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
LKA	39706	131											472				400	669							232													251							2463												251									130									61	299						557			90									37					10730	322	104	40			55	5130		843	275				1742				736			40						918	1399																			342			111						117	330	823								33		274	607				149										1406			25		608						261		35						129	289	73			275							45						1676	1184		609											
South-Eastern Asia	9609923	1719	116	462			76			148	135	63	32964	503			111	451029			533					35			363		6165				131	679930		14656						93	696732	62856	22199	125		529		39	16		112				7298	48	1083				459	161					2				112	3003						6123	34		153				1008	34							244	53	345616	1257676	600	731	431		614	2359		59447	12153		53		171		904230		134		1	2311						1176785									145								2096979			223979	8451		8648			192			1371	408	171858	34		60		111	136960	110	930	51	120	45193			35	97	4									2997					107084					1098	813		1305	26601	15	63	125		1302	1973	2325			110678	22666	2				568	880						431	50772		72442						150713					1
BRN	102733												515					1234																											2055	515																																																					3081	6165								204																		48285																				5344	307		204								821						13457					153																			1541									1234										14384														2055		153											
KHM	73963												116																									42							1518	116													42																	275						38																	95	105						15		125							260											172																	52			45	30										41						152					56				30															123									47										30806														92		195						36436					
IDN	338124												10844																									2144							72302																																																						11976									18909	11976											2263						2263																					6950										8223						4025					31940														2263					22525																2263			22525	22525													31304		12077											
LAO	44575												51																							3499									13678																																																																																																		254																																																															3361																						19330					
MYS	2650617	498											5310					358432													6083					14127									10368																																																						132699	1070433		578						16450																																			302292			205021			2141								26858						101732					3424																			79519					967				6634										8283														9852								87272					
MMR	73308																	1024																											33656																																																						26205																																																										2975																																																																												
PHL	211862	1220	116	462			76			148	135	63	3993	503			111	158			533					35			162		82				131	39		5565						93	35952	256		125		529		39							5753	32	442				459	161									112	1204						3786	34		153				1008	34							244	53	10639	3304	586	71	431		614	1731		13749	177		53		171		287		134			48						793									145								421			68	483		383			192			653	408	499	34		60		111		110	60	51	120	6906			35	67										733					820						813		1305	172		62	125		605	1033	62			340	141					568	879						431	4282		35564						413					
SGP	2543638												10129					80747																				4700							448566	61969	22199																																																				150082	163237																										1123654																							3938								129253						15392																																	10730										19269																17161											
THA	3486526	1											1416					1404																		661275		751							74411								16							16	641										2					1319						2299																	8901	671	14	82				613		8167							896727				1							1314																	1782773			11186	681		1800						718		2347						1311		530			909					4									1					729					131				7705	15	1			697	940						2					1							2068		4055						7049					1
TLS	11784												553					135											201																1221										112																																													5901																										176																							182								250						778		340																						76																			158																73						213					
VNM	72793												37					7895																		990		1454							3005														1503																	205																							1938	7860								1843							6956											128																	11187			2315											591						113					1805																			1751									79										11552														1119		3164											
Western Asia	39780127	416191	3636	46716						39588	162959		9694	19981	123919		13963	2873616		25640	15156		10			12	2508	10	9442	75	29	506449		5			62	11515			16	7181		3480	26756	93		2968				58		337	92		10560	1926	144	816	5525	5		12	10	2578132	12		27757	747	234094			5	2533	86533					124508	303629	260	5	89640			46						5		5	14161	77	8279275	1904487	94848	707609	1432		68005	8917	16	2198	529368	25055	263		93472	7312	5	4371	203937			41724		4433	56	10	10	586			77			267	12		2823			218			178070	12	214479	5		606621	33525		451	12	10	26101			3826	10211	2819803		21		10	2547	1460776	63737	293	5	14167	613	15060		130855	234995										44378	75	2809	10	5	232		483	162		294756	17471	19850	3586	684579	3198658	629759	5	76	7121	14881	5657342	2565	144650	19496					16	33880	105102	7149			21	160610	64487	132852	379	129823		6426	49223		511	113			983725	147	332
ARM	191199														87675					328																																																													40897	681			1096																8733									849							915																																																							20580																															2828										581	875				2645							1061								
