Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
MWI	241624																																	5896																1567										2481																																							2683																																											60845																															5138																			61	9179																											1639	10676											47571	41271
MUS	7493																	150			35																	27							3273	45																														696						70																	1483				14			56		14																242		33																															3															28													39								192		7	19						30																		450		30											
MYT	26316																																																20154																											2791																																																2061																																																																																																													
MOZ	168256																																		4567																									719																																							1653																			5182							19997																																1122								7215																												29502																												4571											2606	13955
REU	77159																																																952																											50738																																																7218									2181	3893																																																																																																			
RWA	233200																																	39410																										93770																																																			1455																																																																																																										51986				24121												
SYC	5148												59					14			26																								80										26																					167						48																	1651	114						29					178													279			1						383													33						32					17						229									45																				13	224		10	391										237											5			223													
SOM	19527																																																																						18044																																																																																																																																																																		
SSD																																																																																																																																																																																																																																									
UGA	634620																	49			44													49666				99							139														51	77724	172										165					245						229			40														1334							396		69			32852																															229					211										220											59				299	141160																			1034			59			273062																						1052	32059	494											
TZA	1106043						958																					108						310644				234											458	22000										21834																						769																	6308							457					31740							106							7121								151									57995		494													517																600656												286							4247	547							69																	15546			866		1027										14501	652
ZMB	244338						141001						81															228						261			13	188							128					456										31525						139										59						220	283																3854									137			328														12382			206														3127		473								148																					2285										138										2660																								359			1434	6172	460											23707
ZWE	431226																											2924																																																																																																	67945																	266322																																																			15313																											18132												22815	
Middle Africa	2646108			41			295636						13	27							184		24511										2580	128520	7490		56634	265			20609	107469			455					13187			1258		190		8		60	149674	2					65		32925								38539			1746			238	2348								1989												9		6	56		12									1337			1191								30267				1115									264	341		401			36				2840	122866													6879			72				1106	1138487								6623		15691							42			2921	137306	429			61357			15	193	11					9365				83	8				19780					944										139	
AGO	39813																																		4147							14								477			6							14957																															152																																																			113		401																					6156								115								3617												2832																																							139	
CMR	246864																																									88874																																		10986																																																																												97818																																																																																	
CAF	99712												13	27																								157				13169															8			20510	2					65										13090																											9			56																						422																			36																									193									104									42			84					27015			15	193						9					8									683											
TCD	89584																																				33673				8765									777										200																963			318																																									1191																															2840	16104																																														19071																																			
COG	191635						18270																5250														4003				11844	3743			327										190					110720								560								6041			1121			205																																			414											9493				1115																																	511							913	5503										4436																									863														59											
COD	1816963						276402																											128458																5912																																																																																																																											1132791																					137306				15271																			19780																
GNQ	3629																																				268																																							1529			86																																																																									121																													501														429																																						
GAB	152972			41			408														184		19261										2580	62			18690	108				1669			128					6021			1252						60	3287								32079								5930						33	2348								1837														6			12									923											20352													264											8823																72					78								2401		11255										5										11					8493				83										202											
STP	4936						556																												3343																																	286											221																																																															228																							212																																																																				
