Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
DNK	509740	10340	261	940			152		3	1120	628	5	2591	1779	278	14	81	708	34	647	1768	11	55		286	437	18889	71	3017		4	2853	56	529	25	195	558	3549			10	15		1480	10878	515		3003	18	670	1	144	419	751	433		158	899	353	621		22	11	129	545	1547	74		220	1089	1686	11158		25	3777	6224			7	613	203	35441	1682		1455	15253	10			231	91	47	100	150		113	2757	8794	8321	1106	12574	22302	1419		1695	5065	155	1726	1143	148	1410	1	1357	33	51	2711	12745	44	154	218	21	5362	442	54	80	705	7	37	100			30	146		926		15	65	81		5432	188	1256	59		1522	6553		751	184	14	1118			19447	18	11543		69	8	66	991	9396	27062	1205		69	8790	308		6472	4971	324			7		8	19	1		249	132	1581	18	331	681		886	239	3	10447	1639		4542	8060		673	29	47	21613	2513	2124	25	2630	10771		142		11	162	886	33760	15			1377	6508	324	17012	1011	11215		221	251	3	606	9951			154	540	352
EST	217890	13	7	14			3		1	14	690		63	70	1600		1	12	1	12796	117	1				1	2		62			78				4	2	114			1			8	201	1		13		4		2	1	13	19		13	67	6	2	135			1	7	41	2				4	1			2398	212					1599	1369	6	1	25					7			2		1	1	99	22	111	6	28	10	146		49	295	2	55	4	4095	2	1	6	593		4259	10			4	1	2004	14	1		2						2	2		28		1	53			15	2		1		20	129		11	1		14			150		32			1		15	17	599	43		1	19	884	1	64	154721	1		1							1	2	13			3		15	8		2	23		164	9	1	4	1		451	42	6	403	4	15				1	2	7	87	358			2	23350	7	524	4	624		4	1174		8	11			1	1	6
FRO	5096																												18			12						14							18			36						25							3341										27											20	16			143												278	58	6											5											14																																	172							5	61	75				47			81	39												35									14								68					72						6								92		39											
FIN	248135	2735	193	707		2	362		1	304	75		1005	536	87	8	16	1414	12	229	473	2	6		3	134	612	12	1026			1164	7	42	8	233	548	1521			2	7		384	7362			894	3	97		54	111	173	359		127	605	3	1090	905	6	3	127	160	833	50	9	67	26176	1576			8		2026			7	449	36	6197	961		731		1			66	55	6	19	12	1	40	1635	157	4140	347	4318	7502	453		741	1874	58	1201	243	172	938		112	36	20	1098	514		108	150		645	79	12	14	389	1	4	32			8	39		542		3	47	3		1730	59	963	74		1188	1331		186	90	18	1450			1591	6	1397		22	8	14	425	1979	2891	372		13	390	95		1734	59355	249		1	3		3	3			254	127	86	6	112	155		121	27	4	8450	650		1727	723	30		3	10	32614	955	434	37	104	7062		54		1	27	582	5379	20		2	137	1003	82	4759	447	4273		84	89	1	132	4696			37	155	65
ISL	35091	6	39	24			39			26	5	1	87	145	7	4	1		1	40	105			1		12	146		105			137	1		41	1	4	235						82	492			156				5	3	150	35		5	158		2	2967	1	2	21	25	27	11	3	3	139	63	330		1	185	452				10	20	1731	44		25	65				32	14		20	7		32	156		277	110	35	48	81		31	222	17	87	12	15	52		2	1		657	30			4		1471	112	2	3	28		1	4				7		69		1	25			154	14	1	36		95	302		48	5		59			1003		26		6	4	3	73	1433	10282	618		2	35	13		206	303	4									3	14	317		13	14		235	29	1	1	67		293	165					1881	147	19	4	41	1082		2		1	3	16	62	1			22	213	2	1113	21	1938		8	5		36	489				7	10
IRL	730542	145	291	576		2	470	1	2	320	52	7	6462	767	49	26	80	3164	18	598	1603	2	33	56	7	17	627	78	10075	1	16	1932	9	47	4	11	339	5211		24	8	10		139	12416	1847				2466		11	130	495	81		282	5953	128	51	959	1	1	10	38	521	26		37	2686	151	3	4	14	946	10912		1	4	56	250	14065	493	38	623	1	14			122	49	1	28	4		12	8033	37	19348	125	436	443			215	7743	117	518	109	254	472		197	31	33	21660	130	38	105	430	2	37759	153	12	74	4098	2	28	364			8	3163		299		7	311		1	268	38	63	37		133	4875	7	2223	16	126	21433			299	48	9025		16	13	26	124	14989	124820	2434		34	189	3707		19499	6432	78	7	2	7		2	13			420	22		11	192	211		11589	206	2	520	8794		7588	233	66	576	12	21	1829	541	112	21	641	524	3	112		1	109	98	479	4	1		146	4468	197	249392	122	30043		54	90	1	125	622		1	30	333	3033
IMN	43447												356																									198					253																																																												2116																																														91																																												577																											37521		265											
LVA	313786	25	7	17		1	2			22	922		166	142	2433			8		54799	116						6		37			538			1		2	148			1			5	230			10		1		1	2	6	57		22	249	14		288			1		42				3442					277	331					1614	3097			34	1											244	40	102	3	38	11	761		117	317	1	15	7	7058	3		3	987			48			6		20226	13			4		1	10						45			128			11					14	134		14			12			192		35				1	8	5	1233	52			37	2039		310	163606										2		6		1	5		56	11		5	13	2	196	40	1	1			449	91	20	669		13					2	2	106	714			2	39933	9	1369	1	712		2	2296		35	10					4
LTU	160772	24								67	678		44	60	1031					41370	205								70			83						36							60												33	94			354					56				958					101	335					723	1786			57												115	54			82		1465		39	338		28		5366				455		6670	52																					75									131					28			1142		63							2633	59				710		213	70305																	34						658						307	50		392									75	289				14475	27	3901		719		26	1133			40					
NOR	526799	8864	438	1117			379			811	196		1794	1307	368	14	25	718	20	683	1306		18		233	424	12989	112	3605		29	2055	23	897	383	328	549	2800				23		6336	8852	988	87	4823		1694		247	285	2742	720		121	1354	42	147	22651	34		563	585	728	156		4839	1999	5170	813		40	6611	4635				1015	208	24853	1539		855	256				390	164	22	86	30		95	2153	4862	8243	1256	13086	20604	706		713	2279	145	1203	301	649	1504		317	141	85	2748	1680		897	287	26	9869	123	444	97	595		39	62			19	173		843			96	304		4881	139	2433	81		724	7271		527	156	35	1012				35	17220		52		137	1170	13458	49518	1107	23	32	7082	303		4390	13813	533									371	177	2295		468	595		2048	188		18002	1169		2684	8751	2668	1069	39		41781	1879	1428	92	2137	13089		95			335	859	10475	57			839	2463	244	16868	844	16046		188	303		631	12958		11	170	468	228
SWE	1337214	12792	1142	2480			710			2843	1513		3169	5913	1912	27	69	5520	116	1880	1856		66		30	3495	56337	81	5783			6254	65	2510	347	470	1319	2961			79	52		28426	21869	591		10257		595		346	676	6260	2273		528	1203	87	2091	46174	93	46	543	1903	3391	2646	33	8996	9979	13100			54	172864	7827			10	3622	728	47982	1760		11259		45			747	310	111	125	132		323	15175	4496	16518	2143	60146	118361	1877		2367	7559	275	2904	2652	1085	2136		1401	508	467	4131	23789	22	847	1238		5592	223	88	77	1375	11	95	126			42	167		1935		24	498	337		7064	314	1352	82		505	8355		951	613	30	2648			43983	33	9195		256	24	176	6565	9295	67771	2886		77	10270	412		18601	14497	358			29			26			1546	490	4630	59	667	742		1061	965		31853	1933		6563	6676	3244	1483	32	20		2995	19719	209	4507	28846		303		27	272	3888	40919	210			2863	4250	692	20444	1345	16617		2286	2080		804	14047			491	396	421
GBR	7604583	60757	13075	23879		57	13988	520	3558	10094	1594	603	120868	19315	2783	1844	5573	204858	18045	4215	25941	1294	603	4097	412	3602	7540	3128	49898	261	5102	46176	212	4291	1139	1162	9801	76921		814	153	331	17753	6830	162564	106808		24649	138	8511		693	7598	8038	2373		75498	37035	16643	18668	22230	434	6100	1323	8388	29985	846	279	16941	8333	14825	380	863	6013	12752	133406		77	351	10856	3017	286819	91540	10643	35339	53	8910			934	2252	2290	20881	304		609	49996	1981	691279	9208	81080	72047	447993	9426	17454	135115	153842	35720	5627	4837	134474	163	12511	1008	639	58790	15247	758	3422	15742	29	104022	1862	998	15908	66922	359	366	28270			207	40167		9348		383	1621	1001	6969	20936	5670	11629	2359	28	48686	60965	109	59885	361	193	192508			16233	3055	481113		685	1069	727	6933	124236	625807	88094		2409	6024	3043	13	79580	37824	4257	2597	5401	8756		7129	207		915	32177	1902	8019	3453	22504	40369		60334	2046	325	98604	194701		81162	123509		17588	425	1421	31204	19101	8858	405	2823	42184	1788	1552		267	22579	5882	89865	699	99		58257	20842	10962		34441	188843	120	1311	2550	150	8754	28868			17273	27503	118337
Southern Europe	16205444	13742	987492	84283		6041	143712	11	54	359150	26977	1	54823	46451	1808	169	117	119298	97	38656	98012	55	3023	8	37	231975	910135	53	358084	1	55	288679	12854	1252	63186	1428	17878	55779			801	677	2	77667	371501	116	1760	416754	116	7646		4698	28975	404097	138529		24185	25927	357	9527	16389	153	1291	180056	585541	145536	20542	21963	14515	2908	36028	1		76	14480	459700		10	2875	20358	111716	631890	75199	5	54685	85	531			8634	20254	32414	193	1355	178	29279	26143	1803	189910	5981	21725	9896	19506	5	7803	116647	5170	14882	6260	34733	5617	5	8527	2172	511	6984	12651	56	2978	38952	485	25188	10060	2978	625	1274	47	27987	2382	5		11987	9774		54351	122	1898	950	94448	83	1197495	64128	539	217	2	4890	69518		2463	14640	1393	96720			17977	103	176769	206	5598	64	82855	314574	192766	212384	155579		1341	8677	212406		1823614	208548	2107	4	6	82	1	27	545	1938	16088	1966	143671	150648	22930	2815	1136		24033	40211	4	14066	25677		75609	86737	1644	5576	255	582	33487	286741	20450	346	140552	12237	2031	5717		21	379	111435	82206	481		65	1338	366355	2182	436624	2381	127356		93444	12730	98	219648	6682	1	313	389	1388	2712
ALB	52784																																					920																																															32054																					9025																																																																																																			542								1990									2408											
AND	52053									819			70								231																							230																	121															4796						392																								527																																			556						257																443		13686																														25929						53	87																		1125		100		122									
BIH	38792													211																																								12849																						175						558															161									117																																	4423																																409	179												10280					3409	1973															3097																												
HRV	573248		172	56						199			1585	5115						93	373					32	402318		192			303						998						125	443			45										943			101					245				20					39	1749						33561			146												1037		67	27	48	81	53		55	3120		56	68	67						27	65			149		26	31												39				6142		29						804		115			29			112							85	75	732	50			27	113		496	1303												51856					640	19463			202		187		43	66			624	2990	179		9992								85					753		666		1606					55					46	
GIB	10369																																																																																																																																												933																																																						1942																									5317													
GRC	1321149	6731	465034	1171		4	9	11	31	681	15191	1	21503	2395	538	23	24	10432	11	1549	5447	5	8	8	2	24	468	8	2356	1		77506	84	141	14	22	491	13408			418	19	2	390	3610			424	78	1503		40	122	455	374		22974	4710	36	222	958	41	19	601	89	30056	53	1	297	137	2573	1		1	819	7118		10	8	53	88665	121579	634	5		3	2			32	193		11	40		53	1837	57	10794	471	2025	3882	627	5	757	6701	12	541	864	28689	482		148	582	43	374	2181		33	681	10	579	147	138		66	3	31	95			125	40		421		47	8		83	2206	68	20	8		53	3982		522	170	26	3038			549	5	33275	199	166	4	84	309	9006	16654	345		1172	224	10684		49116	57621	103	4	2		1	7	477	1	7	452	680	4659	26	186	87		917	138		788	7346		1255	944	1064	1972	9	22	5762	3931	7489	103	2306	401	230	14			18	676	35608	123		11	148	20687	91	18798	420	24284		119	8819	75	1091	223	1		29	253	446
VAT	794																																																																																																																																																																																																																																								
ITA	5787898	6567	447515	22467		130	1869		23	73170	1256		19847	16328	709	93	50	97019	50	32377	46385	24	2566		35	15695	11104	44	104189		32	57681	11655	1007	6159	1322	11455	25536			238	563		12425	200400			39525	37	3384		1508	25551	24705	33463		650	10401	125	6086	3237	89	337	42262	88314	108471	12462	121	13591	1382	30396			44	2827	134380			384	1515	12224	219975	46540		17402		16			2135	3898	782	74	703	178	2323	12887	207	136380	3158	14431	3888	3628		3882		346	8284	2990	3850	3640	5	543	1326	260	3199	7085	31	2006	36216	132	5645	4798	2382	171	613	34	4176	1928	5		677	9497		8825	13	1617	275	2285		425165	857	441	93	2	1775	13032		901	1175	1060	56249			1981	52	84778	7	1021	32	2636	116018	143432	118621	6414		80	3930	166791		1021438	80736	778		4	22		20	68	1913	74	962	84801	45573	978	1377	567		10994	4698	4	11554	5656		31824	85078	391	2914	50	36	6410	198136	6057	186	73021	9864	79	5151		21	167	107653	20487	206		6	967	222203	370	64975	1604	54217		7499	2509	23	48962	5257			263	874	881
MLT	33008		72	49						10	26		3939	103				14		27	155						153		90			842						1699							333									68			42	76			122					436			487		319				74	401					38	915	63		72												134		245	21	28	77	254		11	1364		43	37		31		54			72	60			746		42				37															208						396		40		35	317			62		170					26	446	232	54				32		631	883										25		513			29		95	20		965	162		141	16	50	218			433	97	245		28	100					12	300	214					268	24	9608		1199			19								34
MNE	78507		2015										122	245													34300					70						66																14529				115			93															397						1785			50												45									186																	96																								138																	94							101	823												17454					54	1438											144	202			2949								79					135		98		302											
PRT	762825		44	203		329	137826			1165	89		1061	445	58			1297		834	3017		29			188	37		118415			4568			52513		65	6417						172	9227	116	1760	568		419			114	72	1431		26	218	65	1603	349			59	394	370	76	194		112	27				295	80086			499	101	943	23733	170		165					27	3970	25070					352	25	6889	218	180	37	1377		299	2405	23	273	25	769	90					182	65		25	25	179	322	3463	23	403	43		100	38			35			234				69		1736	61946				468	3493		39			235			292		1708		30		48	252	419	859				113	17400		20079	5006									15804		1833	46		48	25		82	50			9728		13976	23				511	709	14276	23		241	241	1516	66				121	262				24	41047		16215	61	6137		198	776		21323	48					1010
SMR	4399		30							69																			24																																															24																														3829																																																										25							109	29																																														53															
SRB	826066		478	55						51	162		691	7160						138	223						343743		87			1161						627							1804									289781	30		177	526			188					79									35	5513					50	16455	30		936												1842		302	33	67	181	54		112	1968		40	102	100			69				47			383		29	93						55						27				72867		34						770		25						142							51	45	680	40			27	236		3691	3012																	488	11183			145		162		78				1219	2922	126		47797							41	397	30				1304	25	662		1316			82		38					59	29
SVN	253786	5	100	36			3			433	7		411	5735	4			3		108	384	1				16	107807	1	82			497	4	3	1	2	7	410			3			29	766			31	1	7		1	1	58624	42		7	348	28	2	49			158	78	13		95		3	18				13	15014			1713	2	4	15	12868		19	82					1	8		2		1		471	9	86	26	56	58		28	40	4527	7	75	74	47		7308	9	5	1	23	25		3	48	14	34	52	8		10		3			12			4			300	5		2894	18	2	4			12			403	3				252	26	2					6	37	65	398		37	715	39		1	296	972										8	3	21883		7		8			452	1		193	111	18	10		13		407	1451	2	30	1	206						38	95			4	2	1447	15	3	548		697	18		32	42		313	1	7	6
ESP	6280065	439	1802	60246		5578	4005			282553	10246		5594	8714	499	53	43	10533	36	3530	41797	25	420			216020	2162		132649		23	145061	1111	101	4499	82	5860	5698			142	95		64296	154918			376161		2333		3149	3187	1691	103189		309	8540	103	1614	11171	23	935	136976	496666	4053	7951	21552	140	1254	2695			31	10378	210047			271	18687	9792	212883	14894		3625		513			6440	12192	6554	108	610		26902	7773	1043	35224	1967	4920	1694	13455		2659	87330	262	5638	2099	1184	1327		405	255	203	3129	3125		914	749	116	18531	1398	383	43	515		23680	263			11138	237		44801	109	234	367	138		763734	1239	76	112		2594	46634		821	12892	269	36852			14587	20	56836		4381	28	80087	197827	38863	74329	134592		52	3641	17111		727521	58461	254			60				24	203	527	56349	3726	43	1204	421		7312	1011		307	2437			565		396	196		18133	63693	4880	55	549	1630		486			182	2644	3276	27		48	195	79843	225	319145	293	35239		84809	507		148147	1112			96	149	306
MKD	129701		70230																								8043					990																						1323				50								1813																39			216												75									35																																	8519																									93							22	199												16538					34	237																							19770					60															
Western Europe	23604046	129501	30255	1363653	1	956	35571	32	186	39179	36742	2519	38591	289045	21991	228	535	16987	235	27890	255115	97	21927	151	458	11649	361371	347	168678		659	147436	10842	7396	35971	64678	107230	64620	4402		15819	7653		37951	278008	717	30	69043	33893	70738	3	3901	92235	233084	21497	60419	3805	511259	5353	107513	42112	6708	6525	32571	19959	78778	3239	463	21284	12894	39745	3		289	29694	459341			19344	7227	30816	891557	51400	96	222936	12	98		1	6411	39178	3462	6855	73119		2720	215781	3274	152001	166865	183731	154205	32020	12	32744	1136225	4123	66198	14036	830260	20548	8	2416	70512	43620	32181	120034	237	5379	7986	2733	48634	36959	114764	533	13620	72	71974	2317			17756	44616		37191	4	23380	4282	31044	6	1215342	3001	3332	846	1	8506	324561		10306	2982	7372	45992			17791	640	85538	1	1814	433	6444	40115	96807	1847950	1058294	53	275	52985	28338		672317	1024980	12329	1	78	4507		94	40	223	410	8060	116976	535120	892	9546	9574	21578	77631	54620	15	33577	42315		488633	129351	1648	9316	210209	205	47766	190984	73197	24147	76706	115525	11	38744		95	1994	413763	2082035	5768	7	12	4959	243140	1766	384088	3239	240084	1	7401	39270	690	21147	234194		16	3695	2545	3337
AUT	1275992	7370	2690	1103		2	292		6	1302	2609		2129		919	19	18	2340	18	1425	2201	35	68	16	21	435	132666	22	4434		5	13452	104	83	35	819	559	2177			25	11		1075	15145	240	14	1342		391		153	183	34205	752		277	47022	2405	599	1213	6	43	2672	565	12732	58	9	89	319	1091			15	1366	7665			21	538	2835	191269	2115		3422		13		1	319	258	58	16	54		84	38020	161	11607	1038	13249	4723	843		2191	25426	178	2539	640	943	840		216	554	106	690	1575	4	234	393	323	777	652	64	33	412	8	85	93			29	98		1292	1	21	1542	18675		1647	57	60	157	1	502	7247		379	178	27	7254			827	27	4116	1	53	51	195	1443	11847	56421	1473	5	22		1521		60079	26481	181		2	12		9	4	1	2	408	286	166876	37	229	245		23230	15311	12	1039	2388		3524	839	237	543	17	20	3036	13511	2838	243	18743	4792		187		6	59	3155	158045	120		11	234	7038	150	9416	134	9451		241	645	6	782	2859			81	97	255
BEL	1119256	2040	3874	8939			2425			470	5138		709	2540	668	2	2	949	6	1410			509		101	300	1703	10	5208			13105	522	1780	162	230	7305	2773			107	168		961	8627			1438		663		102	1981	804	600		311	2601	17	17966	2992	439	27	658	2607	1229	95	18	116	696	738			8	3006	139529			290	206	1666	39225	3125		14724					131	4058	48	17	245		59	3753	191	6894	1228	4464	3292	3607		1417	164231	115	4520	342	2088	494		9	1129	117	953	1831	11	380	170	16	1405	4391	436	27	361	2	329	341			855	648		940		8	381	128		81535	39	81	11		1417	132872		234	56	1021	2577			1291	10	3808		45	1	133	1010	3098	42871	32919			698	908		26252	12749	3329							19	9	42	1407	2225	17	651	184		4043	762		780	796		45008	623	336	405	247		4404	2084	1800	62	3274	3140		2289				3945	39354	13			240	2999		24915	209	11277		78	1492		393	1161			53	119	128
FRA	7196481	4401	6189	1322603	1	908	19679	9	56	11968	17642	10	7718	11610	3801	42	149	4618	71	3143	141648	8	18872	106	80	2909	12886	38	53069		45	16295	8081	1725	20608	58559	75139	23794	86		15456	6858		13314	101734	477	16	25174	33867	64227	3	696	83144	9334	4419		952	8419	56	70928	5991	6075	5956	3227	3824	28600	1030	361	590	840	8020	3		145	3540				18286	1763	7011	215982	6190	65	11916	12				2768	27927	2834	4364	68723		542	9756	355	44431	4572	21067	5658	9086	12	8502	339830	479	19762	1334	2388	1616	8	679	667	39404	2580	43600	45	726	2173	26	2419	11915	111307	99	2346	6	69849	453			16426	40988		11630	3	23063	1319	1297	6	856493	1193	436	160		1225	40527		1810	598	5087	5331			3763	101	21983		472	25	955	10800	14074	103216	659295	48	137	19138	6065		83011	59160	5726	1	3	4391		27	17	203	207	2301	108968	78304	552	1203	2111		4117	2397	3	1741	4789		281430	44249	918	2966	22541	19	9301	88072	15492	226	4149	16780	11	21968		89	380	359248	274965	195	7	1	537	14681	725	171346	595	49835	1	2252	1020	684	5858	116235		16	450	320	648
DEU	9812263	80611	14597	18828						14996	10201		11239	208395	15517			6129		20656	28273		1733			4337	161676		51692			85217	1250	566		2180	16097	15934				256		12897	82817			17892		3401		1529	3265	169476	11753		1498	439737	2419	7060	21013			8972	6865	18891	1077		11840	9484	16835				13179	117963			422	3575	18514		24387		173992					1693	3423			1279		1165	139766	1457	55250	15889	111268	93073	9201		12055	335329	1846	26764	10244	822671	12163			67694	2908	24847	64346		1593	3617	248	40319	16941	1288		4967		1173	608						14779				20		92677		1841			3174	112693		2622	1229	764	21539			7150		40592		594		4116	15022	45508	1561565	79661			23592	18766		477488	874174	998									3030	3371	86303		2634	2308		34672	32149		5953	14860		81357	37795					16172	68197	42959	23449		61489		11529			741	33439	1339773	5358			2097	211279		83616		111303		2759	34199		7362	91388			2340	747	
LIE	22342									19				3615							41						297		143			10													66			30						130				54			15			64						2					9	115						1635			49												49	2	23				9			878									35								5												21				1								68								6								37	47	387						19	44												135					30	113			30		274						24	12215			75	79						18	585					20		57		124											
LUX	248888		299	99						38			76	967				31		41	19800						2421		298			877			1616		60	236						58	1053			24						413	21		63	907		96	2535		116	35		24				526					1302	36177						14190			1823												1086	328	193		232		1626		40	20619		280								489	35					598				24			271				52		26				8543		245					31	4462		21						173							98	190	3149	94683			47			1738	390	24										31	5921					708	482			44		3997						2060	532			344	172						135	200					173		6546		1095					24	111					
MCO	21132																																																																											6399																														4443																																																																																																																															
NLD	1832510	31153	897	3912			7460	23	27	2844	521	2509	10021	6530	594	54	104	1121	67	198	49330		263	29	194	760	757	214	13429		561	13412	336	2746	11738	678	1895	9180	4316		57	100		3050	52904			12975		1008		625	1093	200	1179	60419	382	407	30	5018	3242	102	72	7792	1798	11824	347	38	1081	525	8626			61	2554	22101			87	529	202	120786	13222	31	9137		45			632	2464	230	2342	1245		393	8441	428	17366	141028	25486	41043	4543		5276	20152	823	5869	891	126	2531		1112	42	162	1195	3387	104	2070	697		2042	1000	162	281	3480		156	298			335	348		2882		61	450			167858	634	698	236		1346			3633	402	303	6310			2500	427	11251		262	134	177	3453	10636	58215	14679		56	6426	61		11094	35615	1145		73	53		58	19		143	1433	919	51863	85	4539	3138	21578	219	73		19863	12910		19544	9987		4448	187312	76	4088	6373	6964	27	82	12062		1183			524	4332	197219				1175	681	520	47297	1545	24368		619	1283		3333	12185			377	950	1392
CHE	2075182	3926	1709	8169		46	5715		97	7542	631		6699	55388	492	111	262	1799	73	1017	13822	54	482		62	2908	48965	63	40405		48	5068	549	496	1812	2212	6175	10526			174	260		6596	15662			10168	26	1048		796	2569	18522	2773		322	12112	426	5846	5111	86	311	9151	4300	5478	632	37	7568	502	4435			60	4738	129392			238	616	588	308470	2361		7873		40			868	1048	292	116	1573		477	14910	352	16237	3110	7965	6416	3105		3263	225317	682	6464	585	2044	2904		400	426	888	1427	5260	73	376	936	2120	1074	2055	1507	93	2030	56	382	253			111	2482		5621		227	590	2380		14887	1078	216	282		811	26692		1607	519	170	2981			2081	75	3788		388	222	868	8289	11417	22466	175197		60	3084	1017		12636	16367	926			51					49	846	1994	143493	201	290	1588		10612	3333		4201	6498		53499	35858	157	954	92	90	8681		3144	140	50039	17011		1588			290	9491	71894	82			676	6269	371	40895	756	32631		1452	631		3395	10255			394	312	914
LATIN AMERICA AND THE CARIBBEAN	8246652	283	313	1077		60	6864	1571	7631	268015	783	4967	4032	6716	6	1328	61	165	4936	323	7544	5140	29	143	14	442731	111	16	208181	3973	142	1680	37	25	1322	167	252	38629	4174	98	202	14	125	250737	99448	4364	7	1252696	1	143	9	27123	367	2559	66709	7760	75	3636	925	232	2086		20721	119943	84968	4168	62162	56	28	365	246	1	38	8	1207	164295	3997	3	34	24	139	64749	231	21	4321	463	10517	9561	7	73577	68	939	56894	392329	1	56561	4442	510	13105	1637	1680	791	1601	2	7403	254512	32702	66074	1945	63	197	85	121	6	1088	469	24517	7	39	336	100	1323	213	55	16	358	11	62	86		14283	2	2	1	59360	5	142	17	281	2906	2254	1510	118	53	4	69	29158	2	930	327827	49	2346	4	4	1722	25	974	22	20937	3	634676	423399	7515	15261	197842	17673	21	27933	482	1136	5902	12611	18	591	11457	13048	102	14838		51	65	2286	415	1379	29	9	264	1768	470	1216	1	49	14953		282179	85	1344	50	33830	14	3591	13298	19503	9	1831	947	49	22		168	16053	152	1854	23	1467	4	87	7365	73	51321	117	1150726	2981	154304	33	203	103129	389	12	2	28	16	162
Caribbean	1353589		114	298			102	1523	7459	3551		4185	361	594		1176	20		4571		940	406		129	8	280	5	13	1033	3973		228		3	3	115	22	11603	3189	25	128	3	15	2481	6801	142		24667			8	1617			22861	7497		218			57		19937	93757	1653	74	1782			15	89				36	102704	3205					5372	96		144	91	10108	7548		1333			32196	372838		2469	92		5895	294	39	26	298		116	7059	30701	1062	92	10	53						1171									35			24		9838				5729					2901	32						17154		90	1397	28	761			65		194		1697		24	4171	4240	178	1646	13441		642	11	783	206	2617		92	11418	11423	61	14356				17		69				1704					193		16618	36	18		4064	11	97	2257	729		25	69					12119		61		1465		11	730		19476	15	264037	2973	716			19629	65	11			10	33
AIA	5103																																					54																										610																													357														433																																	266																																			843																																													390		424	379										
ATG	26412							37				5	7			2			284			13		13						92								408	10						126										19	18							4462	1678		9					85					39	5					78	29				181	71					6086	31		7			74							68	3752	19									52														5				5					1070							15		11			38														50									448	636		863										22					42		11				42				229								677				6					935		2469	669				37						
ABW	34327																																						282						1071			9279								2334							102	4113																							245						275	1551					314								709																																								4358			102												1078	954		156													107										666											1271														10									582					3231						
BHS	54736								13	102			77	37					220		28	41		36				13	112	3		19						1446		21				32	159	24		178				50			370						15		69	269	40	29	67			15						132						267	44		84		30			32			1232	25465		40			552	30			54			146	6925	32			19																								124												50		22	9		148			11				48			290	1031	18	15						94	52			31	72		37															96		102	36				11	27	283									360				1426		11	17		1839		8919		16			28						14
BRB	32825								185				23			47						21		27														656							41										56								321																								371						6277	32					441								947																																																																				104	2073		2964																					45												1419									2389		985											
VGB	17074								676				21			23			164																			210																									1098	1526												21						52											2023						35								1697										21																							188																										469									1214	461		1968																																	360									714		1537											
ANT	11445							25	22	3		664				19			57											56								77							15	15		517							40	3617							20	1198												28												24					145	88					8	39						15	347	26									57														24																1859		3						2										42	9									23			12										452							15				366												6									49		517					422						
CYM	24057									12			173	47		171			169		12	323		32					66									1332					15					385				120			695	12					18			61											10	36						126					16						308	18		1682			535		10		213		12	85	9467	20			34															18									38												36		53	364	28	10					102		126			15	1730			45										10		30															36		28							75				51					289									1969	15	2640					34					10	18
CUB	14818		114	49			102			174																60						139						63						184	308			166										190						125	63											154						353				91	84			71				969			72									231	307										58																		417															280									86			89		99		128					71	2108																							5024																							641		52		556					202						
CUW	34627							39	50	20		1572				75			176		84									92								83	2148						450	103		4414							215								99	5259																		115					2	87					422	1811					587	168						22	1197	120									232														29				12												8745															97			846	14									167			268										460							19				1722												89									23		304	26				1645						
DMA	5765							16	379			40	6			10			143											73								158							33										10																					69	20					26						33					163	1196					24								111										29														123									139							9					43														14									54	241		107																					16				14								262									543		534					26						
