Country or area of destination	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
MWI	217722																																	5314																1413										2237																																							2419																																											54826																															4631																			56	8272																											1478	9620											42865	37189
MUS	24836																	7235			103																	32							2564	20																														1308						119																	7517				44			127		8																1979		53																															163															43													108								541		24	979						92																		395		43											
MYT	72757																																																56520																											9498																																																5230																																																																																																													
MOZ	214612																																		6524																									2250																																							2344																			7548							74598																																1235								4256																												8566																												7367											5722	24481
REU	123029																																																2143																											81294																																																16210									4893	6294																																																																																																			
RWA	436787																																	64931																										214283																																																			2598																																																																																																										92808				43060												
SYC	11420												46					197			34																								456										39																					214						76																	5788	126						109					366													716			34						495													157						122					22						630									86																				58	228		22	534										214											25			259													
SOM	23995																																																																				37		1882																																																																																																																																																																		
SSD	257905																																								5166	5327																		67795						5287			3410		8605																												1454												9821									177								198																								3635																																																																	144466																
UGA	529160																	149			46													21030				277							426														155	166901	182								3490		989					259						243			43														4090							421		212			43824																															31					223										697											182				318	76836																			11168			63			166124																						1249	25473	1000											
TZA	308600						1186																					136						112009				282											567	24354										60386																						924																	7629							550					27864							140							7011								187									28177		613													635																5246												355							2273	678							86																	6938			1040		1234										10265	809
ZMB	149637						37106						264															918						3243			243	200							1007					8481										20933						164										70						279	175																4630									100			536														13467			217														1301		630								508																					7462										142										3072																								456			1286	5918	949											17106
ZWE	397891																											3705																																																																																																	103281																	117799																																																			18910																											12174												30373	
Middle Africa	2139979			65			294132						12	24							295		44075										4115	37785	9031		68741	528			197525	78552			899					15069			2030		403		8		95	311563	2					44		55210								36394			3979			724	3745		153						6868												12		10	483		19									2350		3407	1054								64895				2369									421	334		725			165				10921	99508													12343			115				2094	143965								11644		30456							49			5186	4472	1023			316141			14	166	17					15390				132	8				33			204		1732										251	
AGO	76549																																		7493							26								862			33							30944																															274																																																			203		725																					11125								871								6536												5118																																							251	
CMR	289091						2046																1921															143			97713	56426								2365										3265								2688								3695			845			236			153						3665															407													3407									6567																			127				8409	82748																															2524																																					204		655											
CAF	93466												12	24																								213				11488															8			19723	2					44										10976																											12			76																						345																			38																									156									84									49			60					22388			14	166						10					8									628											
TCD	416924																																				29790				75211									687										247																852			281																																									1054																															2512	2401																																														293127																																			
COG	419649						31028																11432														8502				24601	7949			695										403					252142								1190								7765			2380			436																																			878											25520				2369																																	1084							1938	18900										9981																									1834														125											
