Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
GAB	280197			74			748														338		35281										4725	113			34235	197				3057			233					11028			2293						108	6019								58760								10860						59	4300								3363														11			21									1690											37280													483											16160																131					141								4398		20615										9										19					15555				151										371											
STP	2293						342																												1305																																	139											227																																																															111																							113																																																																				
Northern Africa	2410056	525	420	28975			27		16	235	411		1206	1337	31	14	1367	1516		1040	2656		35				395		383		65	65	62	35			849	3510			15963	89076		26	5175			54	5247	2408			1483	97			81	190	97	1509	1071	1805			11	40368	923		192439	25	74734				1082	53571				27		18186	848	9	3877					9	2134	1449					470		7628	17503	561	89985	90		667	15701		2113	28048	1019	3509		15045	59			16905		44	19377				38	27	11625	27	2749				3244			62		358	14			11908	16	11	251			2742		87		473	21718			456	2241	3096						5540	1050	43		1821	1012	59		837	15259	42									47880	5625		19	301	818		59			137725	871	303700	5333	585	451770	49795			1096	2237	209599	815	113	3926						6532	3434	286			1562	1054	3510	12390	406	19370			490		32			164924	29621	25	32
DZA	248624																																																																											550						771																		1434		7533				734			2243				1187				1215			2310						870																																														796										3900										11499					31477	1585					3053																	793		1085								164924	2349		
EGY	478310	198	113	834			27		16	235	151		442	569	31	14	378	239		262	529		35				59		123		65	65	62	35			119	597			54	313		26	723			54	856	70			216	97			81	190	97	123	284	349			11		200		2001	25	1231				234	2691				27		7276	221	9	1202					9	135	87					125		1172	2713	141	10038	90		667	3939		1086	4940	200	130		2817	59			2993		44	4725				38	27	2657	27	203				147			62		76	14			999	16	11	251			933		87		109	764			114	511	582						1032	357	43		376	281	59		228	7055	42									7712	399		19	59	135		59			19193	210		391	210	127186	33459			332	1285	174813	122	113	1013						736	843	44			81	161	673	2961	137	5688			106		32				5367	25	32
LBY	788419	327	307	3669							260		764	768			989	1277		778	690						336		260									2913				879			3142				4391	411			609							443	787	1456				21474	723		2027		1872				848	5139						7186	627		2675							316					345		4950	13356	420	70010				6839		1027	20865	819	342		11041				11314									8098		345				364					282				5008						1809				364	2913			342	1730	2514						4508	693			1445	731			609	7408										36268	1145			242	683					106880	661	1815	742	375	292545	14751			764	952	28383	693		2913						3153	2591	242				893	2837	7393	269	10106			384						21905		
MAR	95835			13771																	1437																													1927																1904										36129						1476									1008											1756				1943											1383			1204												1632																																																			1850												4200								2098									2643								1243		1872											
SDN	735821																																								15909	87884			1310															943						15831			188411		71631																												1506												3037									1836								799																								17488																																								153		301885																							1481																
TUN	57663			10620																																	730																658													1159										8784						1477																				648				2246														9302								1015				538									5901											553																															417														562						1252																			619											
ESH	5384			81																																																																								278															991	1046																																				387				563																																																			1814																																																		
Southern Africa	4338205	194	268	1186			103924		433	3960	56		12915	9467		45	314	4210	47	395	13297		463	97		268	334	69922	5339	35	35	6520	65	11409			4186	10025			195			1130	46071	2665		979	320	33607			1935	1650	3162		8115	3360	320	56975	4687					7788			944	237	5352			74	1140	13002			515	78		103404	11236	87	14912					148	175	47	92					51	50626	2093	1188	270	20784		7478	39925	319	2993	92		28912		148	59	51	692	1570	316256	1286	300		662	81	1370	107465	1500	92	174	561				16089		470		42				1791	393566	355	175958	35	209	34449		5236	178	31	29006	31	42	2350	51	17629		96	96	195	334	2701	16431	45875			2780		552	2697	6028	8277	371	42							1021	4584	6401	1424	967	1500		694			31024	62166		2724	3621	159	5191		88299	1007	3640	192		197	1511					42	188	1896				10355	6525	296	133919	20001	19365		188			496	265			134	108246	695632
BWA	166430						3677						464																									432							4382															3513	409																					1332																	9861				741			646					740							3375						663	4761								1948									1227		1911			754					770			464		725								550																				275								38607			1994				721	518																1704			8561	3073	1322										13295	32764
LSO	6749																											110																	124																																						91																234																										36																	23		4													234																																				2680							36																	140				87	91										70	70
NAM	95067	39		448			34405		433	45	56		496	564		45	44	28			169		144					610	494			26	65	360			108	173						28	2881					1036			26		629			69	92	2954	104					160					195				72	496				78		8412	132								48								624	82	26		54		100	764		104			1029						42	115		32			39		341								98									125					478		45			910			48		153						227	155	400			32			26	420	331										26		51	150						85	7872		318			183		180	92	396				67							32				445	237		1594	1018	973										2806	13413
ZAF	4036696	155	268	738			65716			3915			11898	8903			270	4182	47	395	13128		319	97		268	334	69160	4845	35	35	6494		10822			4078	9401			195			1102	38684	2665		979	320	32497			1909	1650	2533		8115	3291	228	50340	4174					7628			944	237	5126			74	1068	12506			515			93660	11013	87	14912					148	127	47	92					51	39907	2011	1162	270	19989		7378	38515	319	2889	92		27143		148	59	51	692	1528	312537	1239	268		662	42	707	102327	1500	92	174	561				14043		470		42				1791	381386	355	174043	35	209	33217		5166	178	31	27326	31	42	1838	51	16517		96	96	195	334	2474	16276	44925			2748		552	2671	5608	7802	371	42							1021	4558	6401	1098	817	1500		694			30847			2406	1627	159	5008		87362	397	3244	192		197	1444					42	188	1864				8009	6288	296	123764	15823	16713		188			496	265			134	92075	649385
SWZ	33263						126						57															42						227				19												74										168											31																																															229	47																							10805							25																								144																			92	13007																								57					266											
Western Africa	6770466	2	10	17655		5	1033		4325	178	8		42		4	12	2		10		174	1	541841		2	4	1	48	1110			2	1440377	37	947	8	35220	569			2612	32828		10	1991			2548	739	33848		114	649788	18	1822				1199	863	64	17	12	1	1	292	3	10500	22		42			2	5	36185			36028	18442		1460	396893								321768	53586		24		289			2019			113			57	837		165	1		1957	2	31			22	5328	31	149599	4065	3		4	9	16			877704		5		83754	14		3	2					4684	44	1	2	17	24	319		1	4	337116	314148			1		85	8		15		3	30	48	2062			492	2		4	1697	1104					29	27		1828	1727	191712	1	2	62186				27	11	5	1549	2	1439	21	162	650		4	225	207	242			49	8	380596		944		767	34					30	68	2669	9	5426	72					4		28324			3
BEN	253284																																10267									721								1971			14183																							1854							10539																																													1331																							78209	46036																																																								49664																									
BFA	708921																						4203																														544036																														32411																																													44078																							12833	5201																															4057																									15485																									
CPV	15295						379			4											10								293																23								7		87																					205			8	5		68	43								423	5139														417		1															4					7							3							26					37					686										3			1187							715									1754		1514			15									146							13					8											22		53		359	72										
CIV	2197152																						54608										1307265		294																																													44			43176								95929	332																											83252	3701								359579				8076																			50280	39306																															19183			665																						50831																									
GMB	205063																																																																																										42994	13129																											1030									9852				3468																																																			126156			2481																																															
GHA	417642			13									33										17303						13				60359				118	285				15			234								31739							31						39					31					225				37											141								877						47	238		57			15						1014		28948									5174				13															188				6091	70705					67						28	48								67	385										75			2402										20		26				149	53					91473												1399	8	629											
GIN	122796	2	10	6843		5	111		4325	108	8		9		4	12	2		10		38	1	396		2	4	1	48	13			2	571	37	33	8	190	44			17	377		10	164			2548	739	118		114	7741	18	1735				1197	74	64	17	12	1	1	26	3	10391	22		11			2	5	240			71	273		26	571									4411		24		289			47						10	79		104	1		1942	2				22	151	31	2686	42	3			9	16			50943		5		1316	14			2					323	18	1	2	17	24	36		1	4	187	370			1		18	8		15			2		13			413	2		4	37	37					29	27		32	30	2078	1	2	8436				27	11	5	1215	2	1153	1		6		4	2	16	7			49		517		944		517	34					8		7	1	292						4					3
GNB	23405																																		578			59																																						115				1566											5175																												941													585																																	862																		11619			850																																				325											
LBR	98630																						24										219					48															20090																							58				707		184	8439								30157	451							708							49											865											1260																			58				224	4896																															339			18900									56						223	29						362												227		448											
MLI	383721			4524			543																4240										25138				4629				2211				613					31496			21168																							19165			34946	4651			19505								18665																												4588													18063																			4013	12442																				749											5780			9608																						6991														1815											
MRT	168438			1652						66											60		557						160								396	50				51			159								467							91						227													84				208								3140	1216										113				54							31				119			139								105674													345										151																	69				60										308	17829												84		162						182					145				250							68			109								28324			
NER	295610			537																			20924										22577				487					883											1657																														1962																																					183								90580																								98849																															1343															618										11336																									
NGA	1235088																						362544														27699					30050																																									229048																																				21157									165795																							116114																																			4195																						152128																									
SHN	606																																																																																																																																																																																																107																											398													
SEN	265601			4086																			3518						631								987																2739																							13511				5028		850	1739								50226	28756																									1075											33225				51951									4016										1647	826																														1389				14527																						1627														779											
SLE	95248																						249										31		1			34							268								68						2																					5041		127	1255								71495	19							387									3									2104		6825									1876				134																			153	2035																10				69											706										227															37												585		484											
TGO	283966																				66		73275										13950		41		714	49			384	731			530					263			5893							667								109								812			919	1090		205	47997								3423	133																											172									8330				148																			67214	32796																					682								42		1033			107																																				186											
ASIA	79586709	4327853	4354	46327			78			41832	187785	64	75505	23658	220503		45636	6785147		136539	17862		9		35147	47	2939	9	310633	88	31473	598054		4	135	736965	61	80650			15	7513		3497	4973011	364112	120256	3032		545		106	16	375	212		12711	2136	73314	866	7970	4		11	482	2767337	11		28990	2459	250238			174	3818	109396					131372	608605	2413	4	108247			54	1039	35				41		4	14220	137	11768612	3799923	110253	758129	3858		68795	21095	15	124066	581416	74026	2702		104202	32803	1021144	6308	223929		1	45067		11477	62	9	9	1469765	1606		83			272	304		5131			25626			174783	11	2695104	4		1493310	48623		17718	11	34	32487			21125	10957	4504755	35	20	61	9	72383	2210781	97391	3683	56	14721	876975	30964		132509	3944352	4									54808	85	2767	34	4	136958		541	187		300213	20189	20658	7903	978688	3283112	692646	132	89	11565	21057	6262089	36415	170919	261978	23190	2			15	34390	160969	15548			724	660234	83007	280722	416	423718	22	6275	464088		507	420956			1079450	840	327
Central Asia	5462972	7537		133							24673			65	82076					111411											23	4369						50							2528														65036		134									1701					113						7242	236078			8041														634		4411	64								44634				23336		2023						7091																									51		112		25					36	152							33136				32939	15762		472	3687964																														53		29751									49888	3269				502065		322		281	22		389876			104				23	
