Country	Total	AFG	ALB	DZA	ASM	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	CPV	KHM	CMR	CAN	ANT	CYM	CAF	TCD	Channel Islands	CHL	CHN	HKG	MAC	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CUW	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FRO	FLK	FJI	FIN	FRA	GUF	PYF	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRL	GRD	GLP	GUM	GTM	GIN	GNB	GUY	HTI	VAT	HND	HUN	ISL	IND	IDN	IRN	IRQ	IRL	IMN	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MTQ	MRT	MUS	MYT	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	NCL	NZL	NIC	NER	NGA	NIU	MNP	NOR	OMN	PAK	PLW	PAN	PNG	PRY	PER	PHL	POL	PRT	PRI	QAT	KOR	MDA	REU	ROU	RUS	RWA	SHN	KNA	LCA	SPM	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SXM	SVK	SVN	SLB	SOM	ZAF	SSD	ESP	LKA	PSE	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	MKD	THA	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	VIR	URY	UZB	VUT	VEN	VNM	WLF	ESH	YEM	ZMB	ZWE
FIN	136203	284	34	377		1	94		1	132	19		552	262	8	3	3	347	7	32	173	2	1			44	200	3	243			421	1	5	4	83	24	993			2	3		183	1783			352	2	12		21	41	104	125		64	283	1	277	595	2	1	34	45	342	17		9	6569	584			6		916			1	169	9	3013	248		394		1			25	8	3	8	1	1	14	734	101	986	112	1762	2699	168		391	806	29	538	118	44	180		61	2	5	234	249		34	61		135	27	3	2	188	1	3	18				22		129		2	13			871	18	50	24		82	615		72	41	10	245			802	2	334		12	3	6	161	669	987	119		4	111	13		593	57502	24		1	1		2				169	34		2	36	50		14	4		3490	175		655	304			3	6	23584	517	161	3	19	1509		12		1	13	252	1808	4			22	183	30	2297	145	2442		43	11		47	2424			19	59	19
ISL	15892	1	20	23			19			13	2		61	72	3	1	1		1	1	77	1		2		11	18		28			74			37	2	2	195						52	177			62				6	1	11	14		3	85		2	2302		1	5	13	15	1	1	1	21	31	308			119	257				5	4	1040	19		10	40				27	7		13	1		14	63		148	75	18	15	54		19	107	9	44	12	1	23		1	1		19	19					32	75	1	1	9			1				7		38		1	10			84	7		19		15	153		37	3		33			836		12		2	1	2	39	675	1491	97	1	2	31	1		66	508	1									2	6	614		10	11		3	11		1	63		154	102					1547	73	14	3	10	560		1		1	3	12	35				6	22	1	721	10	1392		6	2		12	220				4	8
IRL	350552	173	346	686		3	559	2	3	382	62	8	4267	397	59	31	96	1264	23	712	822	3	39	66	8	22	748	93	3040	2	19	1081	11	56	5	12	405	2976		29	9	12		164	7229	1108				1312		12	154	589	96		158	3400	153	60	522	2	2	12	46	621	31		45	1529	179	5	5	17	603	5996		2	6	66	298	7601	587	45	304	2	17			145	59	2	34	6		14	2144	45	6019	148	519	528			255	3745	139	616	131	301	562		235	37	39	9021	154	45	125	511	3	15984	73	14	88	2197	3	34	184			9	451		355		8	369		2	318	46	76	43		159	2765	8	1542	19	150	10745			355	57	3770		19	15	31	147	6214	40650	979		40	224	1457		5520	2943	93	8	3	8		3	15			501	26		12	229	252		5284	87	3	618	4979		4000	278	79	687	14	25	1168	644	133	25	763	624	5	133		2	131	116	570	6	2		175	2189	235	131924	147	16225		65	108	2	148	740		2	36	396	1480
IMN	39002												157																									133					208																																																												1771																																														61																																												387																											34442		178											
LVA	430178	24	8	12			2	9		20	1073	1	93	104	3109			5	3	77583	28						3		17			50		1	1		1	87			2			2	326			4		2			2	8	70		3	176	14		151					11				4069					170	128					2039	4256			12												285	9	74	3	30	5	28		43	57		9	7	8726			2	1233			40			3		27884	1	1	1	14		3	3						12			180			5					2	42		11	1		8			52		34	1			2	7	2	1526	2			18	2426		69	234753	1													3	3		17	4			3	2	17	12		2			206	24	10	821		2		1					25	928			2	53157	2	218		479		5	2919		12	7			1		2
LTU	214311	35								72	681		19	41	1340					56088	26								65			28						57							137												3	57			87					3				1107					65	188					896	1605			9												115	6			21		16		26	35		11		6544				606		8333	104																					68									28					3			38		31							3830	3				846		31	95271																	14						732						241	20		516									35	375				20051	14	246		1026		19	1626			57					
NOR	292440	638	149	731			103			533	33		977	1058	63	9	18	485	20	108	886		7		15	263	11573	82	1260		21	787	11	58	234	173	197	2242				7		5444	3617	884	28	3230		266		177	122	1425	209		105	506	25	34	21713	11		236	376	383	108		530	302	2567	902		24	6635	2934				789	16	11445	1050		575	184				285	30	13	78	11		61	1409	3780	5130	573	8857	6941	498		506	1413	73	926	109	46	827		142	6	50	326	1189		70	70	6	274	89	371	12	304		17	46			12	138		380			8			3719	60	56	39		164	4108		316	98	6	414				28	13283		27		74	548	5698	5738	708	13	12	5966	23		1082	3114	148									203	71			195	365		141	59		6445	744		1610	7295	49	341	17		33401	1501	582	10	537	3584		63			265	530	7300	9			459	314	82	14347	507	14956		163	30		178	11177			35	184	148
SWE	1003798	4287	374	1681			433			2435	341		2240	6021	189	16	54	2937	101	449	1201		22		10	2349	51526	49	3496			3508	34	83	294	324	108	2280			11	28		26842	8807	561		7317		160		207	315	5229	1489		453	321	56	999	38190	57	46	245	950	2085	2332	11	3054	10253	11907			36	195447	5602			4	2501	132	38155	981		10851		40			658	112	78	106	107		210	14127	3530	11110	1624	51101	49372	1108		1517	6337	195	2283	1068	173	1267		809	46	362	2305	20038	21	558	374		785	120	73	40	961	7	51	87			20	133		1079		15	39			4492	196	125	48		154	4532		636	404	12	701			42464	7	3100		201	23	130	4531	5460	40123	2514		23	9170	74		11776	6523	113			29			17			836	230		47	217	509		243	683		13082	1016		5079	5854	1018	710	21	16		2389	14162	65	2362	10353		232		20	234	2728	31894	56			2393	1459	351	14602	846	14413		2227	155		449	10898			173	245	254
GBR	4730165	14382	2227	10318		26	5717	666	3764	6561	572	772	104295	18851	544	1735	4047	149241	20891	1108	20943	1191	226	2892	86	1103	6470	1975	14710	334	2692	5178	94	1953	319	680	3125	70115		1043	299	180	12513	4966	144073	74718		11920	60	3162		355	2697	6757	1044		75098	11819	11	8280	18023	232	6517	504	2936	23885	569	53	6334	1943	7524	266	1105	3349	10943	91911		98	126	3796	537	257322	54254	7500	34008	36	9460			481	255	373	20182	154		412	12721	1492	452144	6499	41087	31162	515544	6642	11503	103689	141559	36294	3001	848	125340	168	5682	129	450	4132	10106	320	1524	8836	27	4214	1177	765	11934	48230	190	117	29178			29	26180		4882		215	288	705	8935	11941	3244	9590	1195	6	5741	39100	139	56350	221	97	85449			13348	1954	310526		476	1023	486	3933	38793	58696	35344		1026	11898	430	15	7379	15125	2294	3329	6302	7993		6855	264		87	8497	699	5651	2808	16485	39131		5097	1192	302	42089	136720		52676	65693		10319	255	828	21773	15488	4028	97	1241	15716	2293	530		137	20581	2967	52296	91	126		53378	11512	5226		31553	153185	152	935	506	121	3846	22566			12085	20818	47888
Southern Europe	7517054	991	745600	35774	14	4157	177480	17	25	101875	10729	92	36802	30154	1150	164	101	28957	102	2875	50025	84	1330	6	39	6201	895278	13	109016	8	44	55955	5220	793	52213	405	5199	33945		10	435	289	4	28518	82148	142	2865	55892	11	6565	5	1785	12984	417713	58039		23016	12876	390	6541	11329	87	1076	54961	46488	80096	7666	12316	7659	804	8407	2		98	10050	330893	4	16	667	6575	72097	362701	36234	12	59456	8	1109	20	3	2633	6146	23158	212	964	41	3108	11605	706	65443	2701	14015	9976	7870	12	4732	58163	642	11337	5635	24974	2115	11	1102	614	561	996	8840	8	1758	6463	181	1157	5395	2006	310	1199	15	1934	1509	8		2523	10949		23339	295	379	262	101889	2	556161	77806	331	193	2	360	45461		1367	2479	607	32757		4	8483	84	42018	18	3021	62	2400	89370	109287	70228	78080	20	113	6579	16511	6	161358	101944	1200	13	15	92	41	120	73	3132	12736	879	57885	150613	971	1858	955		12132	41110	24	7267	19521		64000	43651	864	2894	245	185	23758	101882	13242	137	118662	4879	2277	1557	2	16	358	77365	108737	198		310	728	45068	396	186617	1349	87112	15	22846	6946	8	93493	2926	26	4	308	706	2421
